340.112,PI 3520
340.112,PI 3700 - PI 3720
340.112,PL 400 - PL 418
340.112,PK 280
340.112,MD 4400
340.11,CC 7620
340.115,PK 255
340.115,PL
340.115,PI 5000 - PI 5030
340.115,PI 4130
340.115,MS 6800 - MS 6900
340.115,PK 280
340.115,MD 4700
340.115,PL 400 - PL 418 	
340.115,CC 7300 - CC 7950
340.115,PI 4500
340.115,PU 1542
340.115,PU 4340
610,WW-YV
610.1,CC 7264
610.1,XC 2600-XC 2628
610.1,CC 3700
610.14,VR 5030
610.14,XB 1400
610.153,XC 3800-XC 3899
610.153,XB 6100-XB 6199
610.153,UN 7900
610.28,WC 3100
610.28,XB 2390
610.28,XC 4000-XC 4099
610.28,YI 3200-YI 3299
610.28,ZM 7070
610.28,VE 8000-VE 8009
610.28,ST 640
610.284,ZM 7070
610.284,VE 8000-VE 8009
610.284,VS 9600-VS 9609
610.284,WC 3100
610.284,XB 2395
610.284,XC 4000-XC 4099
610.284,YI 3200-YI 3299
610.3,XB 0990-XB 1999
610.3,XB 1400
610.6,QX 700-QX 795
610.6,XB 1800-XB 1899
610.6,XB 2000-XB 6399
610.6,XC 2800-XC 2899
610.6,XC 5000-XC 5099
610.6,XC 5700-XC 5799
610.6,MS 6050
610.6,XC 5200-XC 5299
610.65,MS 6050
610.65,XC 5700-XC 5799
610.69,XC 5900-XC 5928
610.69,XC 9000-XC 9099
610.69,XC 2800-XC 2899
610.69,QX 700-QX 795
610.69,FX 012200
610.69,XF 1200
617,YO
617,YP
617,YH
617,YI
617,YK
617,YN
617.001-617.5,YI
617.0231,YI 1600-YI 3299
617.0232,YI 1600-YI 3299
617.0233,YI 1600-YI 3299
617.02332,YI 1600-YI 3299
617.024,YI 2400-YI 2499
617.026,YI 2700-YI 2799
617.03,MS 6470
617.03,YB 2800-YB 2899
617.03,CW 6600
617.03,ZX 9560-ZX 9569
617.03,YU 3000-YU 3299
617.033,CW 6700
617.05,YV 2000-YV 2099
617.05,YV 1700-YV 1799
617.057,YV 2000-YV 2099
617.057,YR 1700-YR 1799
617.057,YK 6600-YK 6699
617.057,YI 8500-YI 8599
617.057,YI 8100-YI 8199
617.057,YI 1700-YI 1799
617.058,YI 1700-YI 1799
617.06,YB 2700-YB 2799
617.06,ZX 9800-ZX 9880
617.06,YT 8000-YT 9599
617.06,VS 9450-VS 9459
617.06,YB 2600-YB 2699
617.06,YE 2200-YE 2299
617.06,YG 2600-YG 2699
617.06,YG 2700-YG 2799
617.06,YH 7600-YH 8099
617.07,XG
617.075,YC 3400-YC 3499
617.1,XG 4300-XG 4399
617.1,YI 3300-YI 4399
617.1,YI 4300-YI 4399
617.1,YI 4100-YI 4199
617.1,ZX 9660-ZX 9669
617.1,YI 4200-YI 4299
617.1026,YT 1700-YT 1799
617.10262,YT 1700-YT 1799
617.10262,ZX 9670-ZX 9679
617.1027,ZX 9660-ZX 9669
617.1027,YI 4300-YI 4399
617.1027092,ZX 9200-ZX 9880
617.10275,ZY 5040
617.10276-617.10279,ZX 9660-ZX 9669
617.11,YI 4000-YI 4099 
617.12,XG 2800-XG 2899
617.12,ZN 3020a
617.124,XG 2800-XG 2899
617.124,YR 1900
617.124,AR 25720
617.124,UQ 7380
617.13,YI 3300-YI 4399
617.13,XG 4300-XG 4399
617.14,YI 3300-YI 4399
617.14,XG 4300-XG 4399
617.15,YK 4500
617.15,YK 4400
617.15,YK 4000-YK 5699
617.16,YK 4000-YK 5699
617.16,YK 3373
617.17,YI 3300-YI 4399
617.17,ZX 9600-ZX 9670
617.18,YC 2600-YC 2699
617.18,YG 5100-YG 5199
617.18,YI 5100-YI 5199
617.18,YI 3900-YI 3999
617.19,YI 3300-YI 4399
617.6,YP
617.601,YP 2000-YP 2099
617.605,YP 7000-YP 7949
617.63,YP 2900
617.64,YP 2100-YP 2199
617.64,YP 7850-YP 7949
617.64,YP 8000 
617.643,YP 8000 
617.643,YP 7850-YP 7949
617.645,YP 2100-YP 2199
617.66,YP 7200-YP 7299
617.67,YP 3400-YP 3499
617.67,YP 3200
617.672,YP 3400-YP 3499
617.675,YP 3400-YP 3499
617.69,YP 5500-YP 6599
617.690284,YP 5900
617.692,YP 6200-YP 6299
617.6922,YP 6200-YP 6299
617.693,YP 7350-YP 7378
617.695,YP 5900-YP 6078
617.7,YO
617.71,YO 4100-YO 4199
617.712,YO 3900-YO 3999
617.712,YO 4000-YO 4099
617.713,YO 4423
